"","Module","Wilcox_p","Wilcox_FDR_p"
"21","M5",1.89588971684813e-08,4.36054634875069e-07
"20","M4",2.15643078979695e-07,2.4798954082665e-06
"11","M2",6.79914645577794e-07,5.21267894942975e-06
"12","M20",4.65472238784938e-06,2.67646537301339e-05
"19","M3",7.5808057269029e-06,3.48717063437533e-05
"1","M1",1.42004833158044e-05,5.4435186043917e-05
"3","M12",7.04664717632979e-05,0.00023153269293655
"22","M6",0.00101571052668374,0.00292016776421575
"15","M23",0.00133680998516713,0.00341629218431599
"7","M16",0.00184202890874195,0.00423666649010649
"16","M24",0.00278239778266052,0.00581774081829017
"13","M21",0.00433796320775338,0.00831442948152731
"23","M7",0.00992354561427683,0.0175570422406436
"14","M22",0.0202008496678594,0.0331871101686261
"4","M13",0.0460428403790091,0.0661865830448256
"5","M14",0.0460428403790091,0.0661865830448256
"10","M19",0.0585578031115747,0.079225263033307
"6","M15",0.0811271103724161,0.103662418809198
"9","M18",0.150813775469495,0.182564043989389
"8","M17",0.163646320723153,0.188193268831626
"18","M27",0.191711805573543,0.209970072771024
"17","M26",0.522257853880005,0.545996847238187
"2","M11",0.609864014364975,0.609864014364975
